names,date_x,score,genre,orig_lang,budget_x,country
El último hombre sobre la Tierra,12/22/2022 ,65.0,Comedy," Spanish, Castilian",100000000.0,CO
All Quiet on the Western Front,10/13/2022 ,78.0,"Drama, War, History", German,20000000.0,AU
Violent Night,12/01/2022 ,76.0,"Action, Comedy, Crime, Thriller", English,20000000.0,AU
Scream,01/13/2022 ,67.0,"Horror, Mystery, Thriller", English,24000000.0,AU
Scream,01/13/2022 ,67.0,"Horror, Mystery, Thriller", English,15000000.0,AU
Devotion,01/20/2023 ,74.0,"War, History, Drama", English,90000000.0,AU
The Woman King,10/27/2022 ,78.0,"Action, Drama, History", English,50000000.0,AU
Evil Dead Rise,04/20/2023 ,74.0,"Horror, Thriller", English,132500000.0,AU
Perfect Addiction,02/16/2023 ,67.0,"Drama, Romance, Action", English,79800000.0,DE
Project Gemini,01/06/2022 ,58.0,"Science Fiction, Horror", English,134000000.0,RU
Doctor Strange in the Multiverse of Madness,05/05/2022 ,74.0,"Fantasy, Action, Adventure", English,200000000.0,AU
There Are No Saints,07/01/2022 ,53.0,"Action, Mystery, Thriller", English,136400000.0,AU
Avengers: Infinity War,04/25/2018 ,83.0,"Adventure, Action, Science Fiction", English,300000000.0,AU
Smile,09/23/2022 ,68.0,"Horror, Mystery, Thriller", English,17000000.0,AU
¡Que Viva México!,03/23/2023 ,47.0,Comedy," Spanish, Castilian",100100000.0,MX
Detective Knight: Independence,01/20/2023 ,56.0,"Action, Crime, Thriller", English,134200000.0,US
Strange World,11/24/2022 ,65.0,"Animation, Family, Adventure, Science Fiction", English,135000000.0,AU
The Ten Commandments,12/12/1958 ,78.0,"Drama, History", English,13500000.0,AU
The Ten Commandments,12/12/1958 ,78.0,"Drama, History", English,10000000.0,AU
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,03/29/2019 ,80.0,"Action, Animation, Fantasy", Japanese,129000000.0,JP
Four's a Crowd,10/28/2022 ,63.0,Comedy," Spanish, Castilian",110000000.0,ES
